Year,Metabolite,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2017,methamphetamine,GB,Bristol,0.12,0.11,0.1,2.14,3.6,0.08,0.08,0.1,1.48,0.89
2017,methamphetamine,GR,Athens,,3.99,3.22,,4.51,3.86,3.56,3.77,3.86,3.98
2017,methamphetamine,HR,Zagreb,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,IT,Milan,8.7,8.28,10.78,11.08,13.32,10.25,8.11,8.36,11.36,10.07
2017,methamphetamine,LT,Vilnius,37.92,39.3,41.68,37.74,41.98,41.29,37.91,38.38,40.67,39.69
2017,methamphetamine,NL,Amsterdam,15.06,13.18,11.74,16.62,12.75,15.73,12.97,13.74,14.21,14.01
2017,methamphetamine,NL,Eindhoven,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,NL,Nieuwegein Ijssel.,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,NL,Oudewater,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,NL,Utrecht,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,PL,Krakow P,0.33,0.45,,,0.59,0.66,0.55,0.44,0.63,0.5
2017,methamphetamine,PT,Almada,0.62,0.67,0.59,1.99,0.61,0.76,0.71,0.67,0.99,0.85
2017,methamphetamine,PT,Lisbon,0,0,0,0,0,0,,0,0,0
2017,methamphetamine,PT,Porto,0.27,0.31,0.41,0.81,0.72,0.48,0.31,0.3,0.6,0.47
2017,methamphetamine,SI,Ljubljana,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,SK,Bratislava C,75.89,79.92,183,139.84,164.52,127.37,69.45,75.09,153.68,120
2017,methamphetamine,SK,Piestany,73.72,63.76,84.68,78.99,69.59,89.26,86.21,74.57,80.63,78.03
2017,MDMA,AT,Innsbruck,10.38,11.2,11.78,40.01,44.12,19.05,9.85,10.48,28.74,20.91
2017,MDMA,BE,Antwerp Zuid,76.43,59.08,84.93,142.95,115.53,106.96,81.12,72.21,112.59,95.29
2017,MDMA,BE,Boom,17.63,15.44,14.44,22.66,33.48,,27.29,20.12,23.52,20.49
2017,MDMA,BE,Brussels,14.71,17.54,13.3,13.05,39.12,49.13,29.18,20.48,28.65,25.15
2017,MDMA,BE,Koksijde,10.29,7.93,7.66,10.95,11.46,12,14.5,10.91,10.52,10.68
2017,MDMA,BE,Merchtem,6.13,11.08,7.15,5.63,4.91,10.01,6.59,7.93,6.93,7.36
2017,MDMA,BE,Oostende,13.74,13.35,10.38,13.19,14.91,22.94,14.15,13.74,15.36,14.66
